start_utc,end_utc,start_sec,end_sec,duration_s,satellite,rate_bps,owlt_s,gap_before_s
2027-03-01T02:10:39Z,2027-03-02T03:20:15Z,7839,98415,90575,SV1,10000000,0.05803,7839.9
2027-03-02T08:03:06Z,2027-03-03T09:08:46Z,115386,205726,90339,SV1,10000000,0.057238,16970.9
2027-03-03T13:58:54Z,2027-03-04T14:54:15Z,223134,312855,89721,SV1,10000000,0.056322,17408.4
2027-03-04T19:56:55Z,2027-03-05T20:38:36Z,331015,419916,88901,SV1,10000000,0.055487,18159.4
2027-03-06T01:55:29Z,2027-03-07T02:24:17Z,438929,527057,88127,SV1,10000000,0.054931,19012.8
2027-03-07T07:52:50Z,2027-03-08T08:13:40Z,546770,634420,87649,SV1,10000000,0.054785,19713.3
2027-03-08T13:47:27Z,2027-03-09T14:08:17Z,654447,742097,87649,SV1,10000000,0.054077,20027.5
2027-03-09T19:38:36Z,2027-03-10T20:08:17Z,761916,850097,88180,SV1,10000000,0.054077,19819.4
2027-03-11T01:26:49Z,2027-03-12T02:12:13Z,869209,958333,89123,SV1,10000000,0.054077,19112.3
2027-03-12T07:14:02Z,2027-03-13T08:17:19Z,976442,1066639,90196,SV1,10000000,0.054077,18109.1
2027-03-13T13:03:06Z,2027-03-14T14:20:11Z,1083786,1174811,91025,SV1,10000000,0.054077,17146.3
2027-03-14T18:56:35Z,2027-03-15T20:17:48Z,1191395,1282668,91273,SV1,10000000,0.054077,16583.7
2027-03-16T00:55:31Z,2027-03-17T02:08:52Z,1299331,1390132,90800,SV1,10000000,0.054077,16662.9
2027-03-17T06:58:38Z,2027-03-18T07:54:46Z,1407518,1497286,89768,SV1,10000000,0.054077,17386.0
2027-03-18T13:02:37Z,2027-03-19T13:39:20Z,1515757,1604360,88603,SV1,10000000,0.054077,18470.8
2027-03-19T19:03:22Z,2027-03-20T19:26:49Z,1623802,1711609,87807,SV1,10000000,0.054077,19441.5
2027-03-21T00:57:49Z,2027-03-22T01:19:32Z,1731469,1819172,87703,SV1,10000000,0.054077,19859.5
2027-03-22T06:45:34Z,2027-03-23T07:16:52Z,1838734,1927012,88277,SV1,10000000,0.054077,19562.1
2027-03-23T12:29:05Z,2027-03-24T13:16:07Z,1945745,2034967,89222,SV1,10000000,0.054077,18733.1
2027-03-24T18:12:14Z,2027-03-25T19:14:08Z,2052734,2142848,90114,SV1,10000000,0.054077,17766.5
2027-03-25T23:58:15Z,2027-03-27T01:08:37Z,2159895,2250517,90622,SV1,10000000,0.054077,17047.1
2027-03-27T05:48:37Z,2027-03-28T06:58:48Z,2267317,2357928,90610,SV1,10000000,0.054077,16799.2
2027-03-28T11:42:59Z,2027-03-29T12:45:24Z,2374979,2465124,90144,SV1,10000000,0.054077,17051.1
2027-03-29T17:40:00Z,2027-03-30T18:30:18Z,2482800,2572218,89417,SV1,10000000,0.054077,17676.4
2027-03-30T23:37:58Z,2027-04-01T00:15:51Z,2590678,2679351,88672,SV1,10000000,0.054077,18460.4
2027-04-01T05:35:15Z,2027-04-02T06:04:15Z,2698515,2786655,88140,SV1,10000000,0.054077,19163.6
2027-04-02T11:30:28Z,2027-04-03T11:57:04Z,2806228,2894224,87996,SV1,10000000,0.054077,19572.2
2027-04-03T17:22:46Z,2027-04-04T17:54:51Z,2913766,3002091,88325,SV1,10000000,0.054077,19541.8
2027-04-04T23:12:08Z,2027-04-05T23:56:57Z,3021128,3110217,89088,SV1,10000000,0.054077,19037.6
2027-04-06T04:59:47Z,2027-04-07T06:01:25Z,3128387,3218485,90098,SV1,10000000,0.054077,18169.7
2027-04-07T10:48:02Z,2027-04-08T12:05:17Z,3235682,3326717,91034,SV1,10000000,0.054077,17196.5
2027-04-08T16:39:41Z,2027-04-09T18:05:18Z,3343181,3434718,91537,SV1,10000000,0.054077,16464.5
2027-04-09T22:36:34Z,2027-04-10T23:59:21Z,3450994,3542361,91366,SV1,10000000,0.054077,16276.1
2027-04-11T04:38:23Z,2027-04-12T05:47:35Z,3559103,3649655,90551,SV1,10000000,0.054077,16742.2
2027-04-12T10:42:36Z,2027-04-13T11:32:43Z,3667356,3756763,89407,SV1,10000000,0.054077,17700.8
2027-04-13T16:45:26Z,2027-04-14T17:18:42Z,3775526,3863922,88395,SV1,10000000,0.054077,18762.9
2027-04-14T22:43:19Z,2027-04-15T23:08:43Z,3883399,3971323,87923,SV1,10000000,0.054077,19477.7
2027-04-16T04:34:23Z,2027-04-17T05:03:48Z,3990863,4079028,88165,SV1,10000000,0.054077,19539.9
2027-04-17T10:19:19Z,2027-04-18T11:02:36Z,4097959,4186956,88997,SV1,10000000,0.054077,18930.6
2027-04-18T16:01:18Z,2027-04-19T17:02:09Z,4204878,4294929,90051,SV1,10000000,0.054077,17921.8
2027-04-19T21:44:28Z,2027-04-20T22:59:16Z,4311868,4402756,90887,SV1,10000000,0.054077,16939.2
2027-04-21T03:31:54Z,2027-04-22T04:51:50Z,4419114,4510310,91196,SV1,10000000,0.054077,16358.0
2027-04-22T09:24:18Z,2027-04-23T10:39:44Z,4526658,4617584,90926,SV1,10000000,0.054077,16347.5
2027-04-23T15:20:23Z,2027-04-24T16:24:44Z,4634423,4724684,90261,SV1,10000000,0.054077,16838.4
2027-04-24T21:18:01Z,2027-04-25T22:09:32Z,4742281,4831772,89491,SV1,10000000,0.054077,17597.0
2027-04-26T03:15:12Z,2027-04-27T03:56:42Z,4850112,4939002,88890,SV1,10000000,0.054077,18339.6
2027-04-27T09:10:30Z,2027-04-28T09:47:57Z,4957830,5046477,88647,SV1,10000000,0.054077,18827.3
2027-04-28T15:03:14Z,2027-04-29T15:43:53Z,5065394,5154233,88839,SV1,10000000,0.054077,18916.7
2027-04-29T20:53:27Z,2027-04-30T21:44:05Z,5172807,5262245,89438,SV1,10000000,0.054077,18573.7
2027-05-01T02:41:58Z,2027-05-02T03:47:13Z,5280118,5370433,90315,SV1,10000000,0.054077,17872.8
2027-05-02T08:30:24Z,2027-05-03T09:51:08Z,5387424,5478668,91244,SV1,10000000,0.054077,16990.6
2027-05-03T14:20:57Z,2027-05-04T15:53:06Z,5494857,5586786,91929,SV1,10000000,0.054077,16188.4
2027-05-04T20:15:46Z,2027-05-05T21:50:20Z,5602546,5694620,92074,SV1,10000000,0.054077,15759.7
2027-05-06T02:15:47Z,2027-05-07T03:41:18Z,5710547,5802078,91531,SV1,10000000,0.054077,15927.2
2027-05-07T08:19:48Z,2027-05-08T09:27:06Z,5818788,5909226,90437,SV1,10000000,0.054077,16709.8
2027-05-08T14:24:26Z,2027-05-09T15:11:22Z,5927066,6016282,89216,SV1,10000000,0.054077,17840.1
2027-05-09T20:25:23Z,2027-05-10T20:58:25Z,6035123,6123505,88382,SV1,10000000,0.054077,18840.8
2027-05-11T02:19:28Z,2027-05-12T02:50:44Z,6142768,6231044,88276,SV1,10000000,0.054077,19263.2
2027-05-12T08:06:13Z,2027-05-13T08:48:00Z,6249973,6338880,88907,SV1,10000000,0.054077,18929.2
2027-05-13T13:48:09Z,2027-05-14T14:47:43Z,6356889,6446863,89973,SV1,10000000,0.054077,18008.4
2027-05-14T19:29:31Z,2027-05-15T20:46:29Z,6463771,6554789,91017,SV1,10000000,0.054077,16908.7
2027-05-16T01:14:20Z,2027-05-17T02:41:25Z,6570860,6662485,91624,SV1,10000000,0.054077,16071.5
2027-05-17T07:04:30Z,2027-05-18T08:31:16Z,6678270,6769876,91606,SV1,10000000,0.054077,15784.9
2027-05-18T12:59:27Z,2027-05-19T14:16:55Z,6785967,6877015,91048,SV1,10000000,0.054077,16090.7
2027-05-19T18:56:59Z,2027-05-20T20:00:58Z,6893819,6984058,90239,SV1,10000000,0.054077,16803.8
2027-05-21T00:54:34Z,2027-05-22T01:46:33Z,7001674,7091193,89518,SV1,10000000,0.054077,17615.3
2027-05-22T06:50:16Z,2027-05-23T07:35:58Z,7109416,7198558,89141,SV1,10000000,0.054077,18223.3
2027-05-23T12:43:10Z,2027-05-24T13:30:12Z,7216990,7306212,89221,SV1,10000000,0.054077,18432.8
2027-05-24T18:33:26Z,2027-05-25T19:28:56Z,7324406,7414136,89729,SV1,10000000,0.054077,18194.1
2027-05-26T00:22:04Z,2027-05-27T01:30:54Z,7431724,7522254,90529,SV1,10000000,0.054077,17588.2
2027-05-27T06:10:41Z,2027-05-28T07:34:15Z,7539041,7630455,91413,SV1,10000000,0.054077,16787.6
2027-05-28T12:01:08Z,2027-05-29T13:36:51Z,7646468,7738611,92142,SV1,10000000,0.054077,16012.8
2027-05-29T17:55:04Z,2027-05-29T23:59:58Z,7754104,7775998,21894,SV1,10000000,0.054077,15493.2
